"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"JARID1B"	-0.912686472764666	1.42367017871716e-09	8.22288385764182e-09
"PSCA"	-1.19436896377302	1.42618873672041e-09	8.23634775770533e-09
"LOC442204"	-0.905148920608043	1.42723336049782e-09	8.24129715562957e-09
"GABRA2"	1.83022083323264	1.43038776262816e-09	8.25773049749989e-09
"WDR61"	-0.880920622504275	1.43052578143994e-09	8.25773049749989e-09
"ENST00000156471"	1.18048585373981	1.43064320904308e-09	8.25773049749989e-09
"MGST1"	-1.18518999054707	1.43102552255458e-09	8.25885210606219e-09
"LOC283464"	-1.23231185118237	1.43204714057946e-09	8.26366254207231e-09
"ESAM"	1.03545454345138	1.43521459316618e-09	8.28085267827467e-09
"CHAF1B"	-2.09300838610224	1.43681168793269e-09	8.2889788919988e-09
"PIB5PA"	1.2839455860372	1.44112741160829e-09	8.3127847057988e-09
"SERPINE2"	-1.88178514118638	1.44228652262459e-09	8.31837852506512e-09
"D15F37"	0.890899120495795	1.44357915875972e-09	8.32474087995184e-09
"THC2418191"	1.31349810488824	1.44391524550947e-09	8.3255861202883e-09
"PER3"	1.16382011694569	1.44682376251434e-09	8.34078633741535e-09
"AL512694"	-0.97083933485956	1.44693115743876e-09	8.34078633741535e-09
"MYO6"	0.79844800227143	1.44872901569059e-09	8.35005436739743e-09
"UPP1"	-1.81981113887546	1.45008879184945e-09	8.35679531873779e-09
"TRIB2"	-0.903652799449905	1.452644538211e-09	8.37042591922188e-09
"CD3Z"	-0.914860599067708	1.45414819060413e-09	8.37799136543345e-09
"SCN8A"	1.20495858755812	1.45829314834664e-09	8.40077056124e-09
"HDAC5"	1.13153600391787	1.45921951620964e-09	8.40500492547602e-09
"ZNFN1A1"	-1.08180779431896	1.46380545512792e-09	8.43016474840643e-09
"CCDC8"	-0.831950856133725	1.4639713838882e-09	8.43016474840643e-09
"MAF"	-1.25362473626939	1.46578430081672e-09	8.43949804969585e-09
"C20orf47"	-1.22986953293891	1.46703913020922e-09	8.44462388459992e-09
"THC2398956"	1.35891642651637	1.46705901270781e-09	8.44462388459992e-09
"PDZRN4"	1.51360044971417	1.47035746523493e-09	8.46250148109993e-09
"A_24_P350008"	-1.17437768317008	1.47347358349689e-09	8.47932512399813e-09
"STOML1"	1.11000831042867	1.47459438634591e-09	8.48466352148816e-09
"FGD3"	-1.01518450534269	1.47780098491691e-09	8.50200040183143e-09
"BOLA2"	-1.7812713720602	1.47800633412645e-09	8.5020683860821e-09
"A_24_P627678"	-1.58229321197496	1.47861026416596e-09	8.50442884460259e-09
"PLA2G4B"	1.82963876694287	1.47882331868311e-09	8.5045408054808e-09
"RPL26"	-0.86446119647156	1.47910401301413e-09	8.50504167483296e-09
"DCTD"	-0.886457523631556	1.48035266538157e-09	8.51110757006647e-09
"PMP2"	5.11057129681354	1.48292842665865e-09	8.52480093058638e-09
"ENST00000330234"	1.84568453049746	1.48423020045842e-09	8.53116798853052e-09
"TMOD1"	1.34459233651975	1.48795905970114e-09	8.55148213654246e-09
"E1A_r60_n11"	1.20350417010152	1.48895853165667e-09	8.55610690048517e-09
"ATP6V0C"	1.3584263672774	1.49011101671967e-09	8.56160960966672e-09
"KIAA1411"	1.01971013974734	1.4908281129363e-09	8.56460962853467e-09
"S61396"	-0.922936988676698	1.49288972856603e-09	8.57533193849823e-09
"ABL1"	-1.08550813279195	1.49345083469804e-09	8.57743347092689e-09
"NME4"	-1.72815641307664	1.49460287798225e-09	8.58292797812262e-09
"THC2355348"	1.49069422306919	1.49646127304981e-09	8.59247682477472e-09
"LIF"	-1.2884482009111	1.49694189408822e-09	8.59367441988857e-09
"RINT-1"	-0.984551686790176	1.49706108068123e-09	8.59367441988857e-09
"MAP7"	1.2033085273262	1.49915038165666e-09	8.60454343043623e-09
"HPS3"	-0.963437452382891	1.5000061731901e-09	8.60833065896988e-09
"LMNB2"	-1.65491740074855	1.50062091975618e-09	8.61073375467721e-09
"SLC38A2"	-0.799500739644673	1.50087396079854e-09	8.61106098626622e-09
"FLJ10769"	0.901472456551677	1.50337493628774e-09	8.62428366754462e-09
