"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"EPB41L4B"	-5.60907974238776	2.05721360560422e-15	4.42656981405877e-13
"ATP8A1"	6.08688601769385	2.07684210786573e-15	4.44742322390616e-13
"REEP1"	4.81402650193652	2.08729182428348e-15	4.44851585179197e-13
"SV2B"	8.67653991096259	2.19846480481277e-15	4.66324600967774e-13
"KCNA1"	7.02630564514391	2.25153008636324e-15	4.753277384211e-13
"SNCA"	3.72381786615851	2.27725262069214e-15	4.7850102484365e-13
"FABP1"	-7.83835820012854	2.42654858455906e-15	5.07488824535164e-13
"MUM1L1"	4.1443192858269	2.46973962105384e-15	5.14119378976211e-13
"ASPA"	5.84827197118753	2.49900481210653e-15	5.17803052641852e-13
"NTRK3"	4.93045012837613	2.57077020467661e-15	5.30218392997725e-13
"APOA2"	-10.2586073907976	2.59238659842287e-15	5.32224103665202e-13
"BAIAP2L1"	-5.56362312915842	2.83630172997184e-15	5.7964164487041e-13
"EOMES"	4.71017960335443	2.8699787180509e-15	5.83577631115951e-13
"NCAM1"	6.0480062362569	2.88347315267265e-15	5.83577631115951e-13
"ADGRL3"	5.73202766793647	2.89467857064396e-15	5.83577631115951e-13
"CPE"	3.91310119888191	2.94199780157156e-15	5.90457639493886e-13
"RHOXF2B"	-6.84653787113167	3.060584832837e-15	6.11515780260949e-13
"CNDP1"	8.55371382899788	3.1003197699768e-15	6.16701829444808e-13
"TTLL7"	5.03871633615522	3.12329569192335e-15	6.18523106140361e-13
"CALM1"	5.36047496563018	3.17730266132224e-15	6.26446510617348e-13
"MOG"	6.50249592109255	3.19157285943336e-15	6.26500153056138e-13
"RUNDC3B"	6.61178527589395	3.25183027968838e-15	6.35541117894031e-13
"APBA1"	6.71659439705846	3.29375885545702e-15	6.40615728919638e-13
"NRXN3"	5.94951729019272	3.30642223121898e-15	6.40615728919638e-13
"PLXNA4"	3.47112634728328	3.36327498025484e-15	6.48822133690886e-13
"KALRN"	5.94213283011963	3.43589916957452e-15	6.58812736448842e-13
"HS3ST4"	4.75643388442185	3.44450309073709e-15	6.58812736448842e-13
"ATP2B2"	6.9526316993377	3.48480535225215e-15	6.61884812538807e-13
"CAMK2B"	8.83211664132921	3.49014245596475e-15	6.61884812538807e-13
"NOVA1"	6.62337558175978	3.51843140549667e-15	6.63380045029611e-13
"UGT8"	5.40878297826497	3.5395537882609e-15	6.63380045029611e-13
"ADGRL3"	5.71643642023629	3.54249331401549e-15	6.63380045029611e-13
"MLLT11"	3.57394570950446	3.66022340038391e-15	6.8257066044826e-13
"SPOCK1"	3.8957177319539	3.88203564826501e-15	7.20931068355804e-13
"NID2"	-5.41205089713842	3.939199335988e-15	7.28523989592888e-13
"UBE2S"	-3.00711898560119	4.01818654249901e-15	7.40073896691711e-13
"KRT8"	-7.00530687652848	4.04519153231379e-15	7.41994230410803e-13
"FGF14"	7.64932638116013	4.23215374379777e-15	7.70438260491933e-13
"MAB21L1"	5.975898275201	4.23469059078147e-15	7.70438260491933e-13
"CLASP2"	3.5759321882058	4.32653832914222e-15	7.83961738700766e-13
"GPRASP1"	6.18430087538418	4.3549490848333e-15	7.85244042597657e-13
"JAKMIP3"	4.93041973957889	4.36870512572206e-15	7.85244042597657e-13
"BEX5"	6.02734842556116	4.41510830679384e-15	7.87302926471185e-13
"KCNJ9"	4.68435827633726	4.42973040119714e-15	7.87302926471185e-13
"RCAN2"	5.50918026426146	4.44080069071013e-15	7.87302926471185e-13
"PVT1"	-4.84283317477807	4.46892282563945e-15	7.87302926471185e-13
"ADAP1"	4.35560533176379	4.48446752520187e-15	7.87302926471185e-13
"AQP4"	6.98958764286374	4.48987833611389e-15	7.87302926471185e-13
"DIRAS2"	9.79183350642611	4.50329674628258e-15	7.87302926471185e-13
"TTYH1"	6.28029189073864	4.54826128028443e-15	7.92069968328444e-13
"PRSS21"	-6.77339927178082	4.58388931567969e-15	7.95180427180466e-13
"TSPAN6"	-3.7594991164747	4.67206751030995e-15	8.07347696878116e-13
"LTBP1"	-3.32405983596283	4.75411453106259e-15	8.18365961354759e-13
"GARNL3"	5.1972842857122	4.81117843060954e-15	8.25015715863451e-13
"NEGR1"	4.76811641325041	4.91446420160294e-15	8.39510533614279e-13
"HMGN1"	-2.93731223811769	4.97023664176158e-15	8.45809548055823e-13
